Geographies,Framework,Framework Subcategory,Industry,Sector,ProductCategories_AssetClasses,Sub-Asset_Class,Asset_Class
Europe,Pillar 3,N/A,Financial Services,Banking & Capital Markets,Fair value changes of the hedged items in portfolio hedge of interest rate risk,Hedged items interest rate risk fair value changes,Hedged items interest rate risk fair value changes
Europe,Pillar 3,N/A,Financial Services,Banking & Capital Markets,Financial assets at amortised cost,Debt securities,Amortised cost financial assets
Europe,Pillar 3,N/A,Financial Services,Banking & Capital Markets,Financial assets at amortised cost,Loans and advances,Amortised cost financial assets
Europe,Pillar 3,N/A,Financial Services,Banking & Capital Markets,Financial assets at fair value through other comprehensive income,Debt securities,Financial assets in other  income
Europe,Pillar 3,N/A,Financial Services,Banking & Capital Markets,Financial assets at fair value through other comprehensive income,Equity instruments,Financial assets in other  income
Europe,Pillar 3,N/A,Financial Services,Banking & Capital Markets,Financial assets at fair value through other comprehensive income,Loans and advances,Financial assets in other  income
Europe,Pillar 3,N/A,Financial Services,Banking & Capital Markets,Financial assets designated at fair value through profit or loss,Debt securities,Designated valued financial assets
Europe,Pillar 3,N/A,Financial Services,Banking & Capital Markets,Financial assets designated at fair value through profit or loss,Loans and advances,Designated valued financial assets
Europe,Pillar 3,N/A,Financial Services,Banking & Capital Markets,Financial assets held for trading,Debt securities,Trading financial assets
Europe,Pillar 3,N/A,Financial Services,Banking & Capital Markets,Financial assets held for trading,Derivatives,Trading financial assets
Europe,Pillar 3,N/A,Financial Services,Banking & Capital Markets,Financial assets held for trading,Equity instruments,Trading financial assets
Europe,Pillar 3,N/A,Financial Services,Banking & Capital Markets,Financial assets held for trading,Loans and advances,Trading financial assets
Europe,Pillar 3,N/A,Financial Services,Banking & Capital Markets,Intangible assets,Goodwill,Intangible assets
Europe,Pillar 3,N/A,Financial Services,Banking & Capital Markets,Intangible assets,Other intangible assets,Intangible assets
Europe,Pillar 3,N/A,Financial Services,Banking & Capital Markets,"Investments in subsidiaries, joint ventures and associates","Investments in subsidiaries, joint ventures, and associates","Investments in subsidiaries, joint ventures, and associates"
Europe,Pillar 3,N/A,Financial Services,Banking & Capital Markets,Non-current assets and disposal groups classified as held for sale,Non-current assets for sale,Non-current assets for sale
Europe,Pillar 3,N/A,Financial Services,Banking & Capital Markets,Non-trading financial assets mandatorily at fair value through profit or loss,Debt securities,Mandatorily valued non-trading  assets
Europe,Pillar 3,N/A,Financial Services,Banking & Capital Markets,Non-trading financial assets mandatorily at fair value through profit or loss,Equity instruments,Mandatorily valued non-trading  assets
Europe,Pillar 3,N/A,Financial Services,Banking & Capital Markets,Non-trading financial assets mandatorily at fair value through profit or loss,Loans and advances,Mandatorily valued non-trading  assets
Europe,Pillar 3,N/A,Financial Services,Banking & Capital Markets,Other assets,Other assets,Other assets
Europe,Pillar 3,N/A,Financial Services,Banking & Capital Markets,Tangible assets,Investment property,Tangible assets
Europe,Pillar 3,N/A,Financial Services,Banking & Capital Markets,Tangible assets,"Property, Plant and Equipment",Tangible assets
Europe,Pillar 3,N/A,Financial Services,Banking & Capital Markets,Tax assets,Current tax assets,Tax assets
Europe,Pillar 3,N/A,Financial Services,Banking & Capital Markets,Tax assets,Deferred tax assets,Tax assets
UK,SDR,N/A,Financial Services,Banking & Capital Markets,"Cash, cash balances at central banks and other demand deposits",Cash balances at central banks,Cash and demand deposits
UK,SDR,N/A,Financial Services,Banking & Capital Markets,"Cash, cash balances at central banks and other demand deposits",Cash on hand,Cash and demand deposits
UK,SDR,N/A,Financial Services,Banking & Capital Markets,"Cash, cash balances at central banks and other demand deposits",Other demand deposits,Cash and demand deposits
UK,SDR,N/A,Financial Services,Banking & Capital Markets,Derivatives – Hedge accounting,Hedge accounting derivatives,Hedge accounting derivatives
UK,SDR,N/A,Financial Services,Banking & Capital Markets,Fair value changes of the hedged items in portfolio hedge of interest rate risk,Hedged items interest rate risk fair value changes,Hedged items interest rate risk fair value changes
UK,SDR,N/A,Financial Services,Banking & Capital Markets,Financial assets at amortised cost,Debt securities,Amortised cost financial assets
UK,SDR,N/A,Financial Services,Banking & Capital Markets,Financial assets at amortised cost,Loans and advances,Amortised cost financial assets
UK,SDR,N/A,Financial Services,Banking & Capital Markets,Financial assets at fair value through other comprehensive income,Debt securities,Financial assets in other  income
UK,SDR,N/A,Financial Services,Banking & Capital Markets,Financial assets at fair value through other comprehensive income,Equity instruments,Financial assets in other  income
